"Title","ID","Created Date","Updated Date","Owner","Solution","Order","Hide","Icon","Rich Text"
"Relationships","1ffe5d68-5d73-439f-b1ea-83cb53ffab54",2025-03-30T19:21:21Z,2025-05-22T16:26:35Z,"b805cef0-823c-4610-b623-a9de8636fce2","0bb2e5a8-1e18-4eab-ba1c-aa5ad81fd190",3,,,"<p class=""font_8"">Leveraging our extensive network, we facilitate valuable connections and introductions within Microsoft. These relationships empower you with access to key stakeholders and decision-makers, maximizing the impact of your partnership.</p>"
"PMO Setup","203b368d-ec08-4b22-a3bf-0aff56989eee",2025-05-19T23:46:14Z,2025-05-22T16:29:24Z,"b805cef0-823c-4610-b623-a9de8636fce2","7c1f38b8-fc84-446c-b7d2-db83a128140c",3,,,"<p class=""font_8"">Our PMO services are tailored to establish and support a robust <strong>project management office</strong>, ensuring consistent alignment with organizational goals and efficient resource management.</p>"
"Feedback Mechanisms","2066cbb3-29d6-446d-8574-f2bd3f7adb88",2025-03-31T05:03:25Z,2025-05-22T16:29:38Z,"b805cef0-823c-4610-b623-a9de8636fce2","80279842-5e70-43b0-bda2-5ef909f6523b",4,,,"<p class=""font_8"">Systems to gather and respond to employee feedback continuously.</p>"
"Channel Coaching","27aa4445-7e5c-45ac-b1ed-2eb6249cb3c1",2025-03-30T19:20:41Z,2025-05-22T16:26:32Z,"b805cef0-823c-4610-b623-a9de8636fce2","0bb2e5a8-1e18-4eab-ba1c-aa5ad81fd190",2,,,"<p class=""font_8"">Our <strong>channel coaching</strong> services provide you with the guidance and mentorship needed to navigate Microsoft's landscape effectively. We help you understand the nuances of Microsoft's partner programs, enabling you to optimize your engagement.</p>"
"Design Ops","2a5cd708-cf6f-4d97-894f-54a1ec576749",2025-04-01T05:12:46Z,2025-05-22T16:27:29Z,"b805cef0-823c-4610-b623-a9de8636fce2","692cae4a-1540-4080-9098-ea41379e41f8",6,,,"<p class=""font_8"">Efficient design operations to streamline workflows, improve collaboration, and ensure the successful execution of design projects.</p>"
"Workshops","2b9300a2-d459-47e4-bb6e-2e365dd7f786",2025-03-30T16:31:01Z,2025-05-22T16:28:04Z,"b805cef0-823c-4610-b623-a9de8636fce2","71b465bd-04a9-4cc5-9f43-3fb45560a8c6",2,,,"<p class=""font_8"">Collaborative thinking workshops to elicit new ideas, foster creativity and create a shared vision.</p>"
"Prioritization and Planning","300de86d-1d4e-4c72-8584-0016cf9f768c",2025-05-21T02:05:02Z,2025-05-22T16:25:46Z,"b805cef0-823c-4610-b623-a9de8636fce2","03424973-e10c-4637-896f-7fe47df954ea",3,,,"<ul class=""font_8"">
  <li><p class=""font_8"">Define short, mid, and long-term goals using the <strong>SMART</strong> criteria (Specific, Measurable, Achievable, Relevant, Time-bound).</p></li>
  <li><p class=""font_8"">Develop a detailed remediation and work plan, outlining steps, timelines, responsible parties, and expected outcomes.</p></li>
  <li><p class=""font_8"">Identify and plan for quick wins that can demonstrate immediate impact and build momentum.</p></li>
</ul>"
"Market Research","30ce1124-efb9-4c45-99d5-b4aba839a755",2025-03-30T11:01:39Z,2025-05-22T16:26:59Z,"b805cef0-823c-4610-b623-a9de8636fce2","2d7b114b-900c-4f02-b25d-d8cf98020974",3,,,"<p class=""font_8"">Conducting thorough analysis to understand market trends and consumer behavior.</p>"
"Creative","32e783d4-1a5e-4519-9ccf-b923e7c380f0",2025-03-31T17:40:07Z,2025-05-22T16:27:54Z,"b805cef0-823c-4610-b623-a9de8636fce2","6dc3d89f-1009-4196-baee-bc884bffdda4",6,,,"<p class=""font_8"">Expressing your brand through communications and platforms to sustain identity and membership.</p>"
"Vega","3a3f55df-1bed-47b3-87ca-865b582bdf6e",2026-01-06T18:02:37Z,2026-01-06T18:03:35Z,"b805cef0-823c-4610-b623-a9de8636fce2","0b6c88a7-b508-425f-aa32-65455a0130ea",9,,,"<p class=""font_8""><strong>Vega by Synozur</strong> is an AI‑augmented <strong>Company Operating System</strong> designed to align strategy with execution across the enterprise. It brings together foundations, planning, and focus rhythm management in a responsive web app that integrates seamlessly with Microsoft 365. Vega empowers leaders and teams with real‑time visibility, OKR tracking, and AI‑driven insights, ensuring decisions translate into measurable outcomes. Built for consultant‑led and self‑service workflows, Vega transforms organizational intent into operational clarity—helping companies move faster, stay aligned, and achieve growth with confidence.</p>"
"Field Readiness","3d3ee67c-6e20-40b3-bc8b-40bde13ae1c7",2025-03-30T16:30:34Z,2025-05-22T16:28:20Z,"b805cef0-823c-4610-b623-a9de8636fce2","71b465bd-04a9-4cc5-9f43-3fb45560a8c6",7,,,"<p class=""font_8"">Ensure your team is ready with targeted field engagement and training.</p>"
"Performance Management Tools","3f5c3edb-5cbc-4db4-bc82-a23bcb70a6cb",2025-03-31T05:03:47Z,2025-05-22T16:29:41Z,"b805cef0-823c-4610-b623-a9de8636fce2","80279842-5e70-43b0-bda2-5ef909f6523b",5,,,"<p class=""font_8"">Resources to set clear goals, track progress, and provide support for employee success.</p>"
"Community Engagement Tools","464fefa3-28ca-4e03-b560-72cfa5e6e323",2025-03-31T05:05:21Z,2025-05-22T16:29:50Z,"b805cef0-823c-4610-b623-a9de8636fce2","80279842-5e70-43b0-bda2-5ef909f6523b",8,,,"<p class=""font_8"">Platforms and activities to boost employee interaction and involvement.</p>"
"Market Research","4cd833e6-53c7-463f-a322-7b36f20f09de",2025-03-30T16:31:13Z,2025-05-22T16:28:07Z,"b805cef0-823c-4610-b623-a9de8636fce2","71b465bd-04a9-4cc5-9f43-3fb45560a8c6",3,,,"<p class=""font_8"">Conducting thorough analysis to understand market trends and consumer behavior.</p>"
"Brand Strategy","5dce5e4d-6b6e-444e-8ccb-ac9af5a008bb",2025-03-30T11:01:47Z,2025-05-22T16:27:02Z,"b805cef0-823c-4610-b623-a9de8636fce2","2d7b114b-900c-4f02-b25d-d8cf98020974",4,,,"<p class=""font_8"">Creating a cohesive and impactful brand identity that resonates with buyers.</p>"
"Learnings","620487b1-64ac-4b24-ab3f-741997047001",2025-05-21T02:05:02Z,2025-05-22T16:25:54Z,"b805cef0-823c-4610-b623-a9de8636fce2","03424973-e10c-4637-896f-7fe47df954ea",6,,,"<ul class=""font_8"">
  <li><p class=""font_8"">Use findings from assessments to realign strategies with evolving business needs and market conditions.</p></li>
  <li><p class=""font_8"">Prioritize new initiatives and scale back less effective ones based on ongoing analysis and feedback.</p></li>
  <li><p class=""font_8"">Regularly review and optimize practices, policies, and technologies to ensure they remain effective and relevant.</p></li>
</ul>"
"MPF","667d6663-8eec-4ae2-956d-d3e1774ad15b",2025-03-30T11:01:57Z,2025-05-22T16:27:05Z,"b805cef0-823c-4610-b623-a9de8636fce2","2d7b114b-900c-4f02-b25d-d8cf98020974",5,,,"<p class=""font_8"">Establishing a clear framework and compelling narratives to distinguish products or services in the market.</p>"
"Engagement Surveys","73143922-0c4c-4768-af62-bd75e759004c",2025-03-31T05:01:33Z,2025-05-22T16:29:27Z,"b805cef0-823c-4610-b623-a9de8636fce2","80279842-5e70-43b0-bda2-5ef909f6523b",1,,,"<p class=""font_8"">Regular assessments to gauge employee satisfaction and identify areas for improvement.</p>"
"Customer Experience","7731b0cb-3cab-4636-94ef-05c4ff35cc8d",2025-03-30T16:30:07Z,2025-05-22T16:28:14Z,"b805cef0-823c-4610-b623-a9de8636fce2","71b465bd-04a9-4cc5-9f43-3fb45560a8c6",5,,,"<p class=""font_8"">Map customer journeys and develop dynamic personas to enhance customer experience (CX).</p>"
"Design","7d69b40e-09d4-4e55-a2da-de088d437247",2025-05-14T23:59:38Z,2026-01-06T17:56:05Z,"b805cef0-823c-4610-b623-a9de8636fce2","0b6c88a7-b508-425f-aa32-65455a0130ea",6,,,"<p class=""font_8"">Develop a clear vision and plan for current and incoming leaders to track business performance against well-defined measures. This can also include helping you choose the appropriate software and tools to support your Company OS – it could be Viva Goals, a 3rd party solution, a spreadsheet, or even a printed notebook based on your needs and culture.</p>"
"Training and Development","810f9ad9-ecda-4e1e-ae97-a44ce4114f4b",2025-03-31T05:02:59Z,2025-05-22T16:29:34Z,"b805cef0-823c-4610-b623-a9de8636fce2","80279842-5e70-43b0-bda2-5ef909f6523b",3,,,"<p class=""font_8"">Comprehensive programs to enhance employee skills and foster career growth.</p>"
"Maturity Models","85865def-4f61-4353-93b3-c730d5d2fb8e",2026-01-06T17:55:39Z,2026-01-06T18:02:34Z,"b805cef0-823c-4610-b623-a9de8636fce2","0b6c88a7-b508-425f-aa32-65455a0130ea",3,,,"<p class=""font_8"">Orion is Synozur’s AI‑powered assessment platform that turns maturity models into practical, executive‑ready diagnostics of a company’s management framework and strategy readiness. Leaders take a guided assessment, receive a quantified <strong>Maturity Score</strong> across core dimensions (strategy, people, process, data, governance, culture), and immediately get tailored roadmaps, benchmarking, and a shareable PDF—grounded in Synozur research.</p>
<p class=""font_8""><br></p>
<p class=""font_8"">At Synozur, we go beyond static maturity models by combining Orion’s AI-powered diagnostics with <strong>leadership interviews</strong> that uncover context, nuance, and organizational dynamics. While Orion provides a fast, quantified baseline across dimensions like strategy, governance, and culture, our consulting team conducts structured conversations with executives to validate assumptions, explore decision-making patterns, and identify hidden blockers. The result: a tailored roadmap that moves leadership from insight to action with confidence.</p>"
"Interview","869053c0-3065-485a-9e06-da01ce26b163",2025-04-01T05:08:18Z,2025-05-22T16:27:11Z,"b805cef0-823c-4610-b623-a9de8636fce2","692cae4a-1540-4080-9098-ea41379e41f8",1,,,"<p class=""font_8"">Consult stakeholders to understand their expectations, business objectives, and current challenges.</p>"
"Prioritization & Planning","8fc3c8b4-31fa-4dde-ac73-3ac4d44fa8b0",2025-03-31T17:36:19Z,2025-05-22T16:27:51Z,"b805cef0-823c-4610-b623-a9de8636fce2","6dc3d89f-1009-4196-baee-bc884bffdda4",5,,,"<p class=""font_8"">Develop a detailed work plan, outlining goals, steps, timelines, responsible parties, and expected outcomes.</p>"
"Assessment","94588897-0737-4ddd-a9f7-38c11c0cfd44",2025-05-21T02:05:00Z,2025-05-22T16:25:39Z,"b805cef0-823c-4610-b623-a9de8636fce2","03424973-e10c-4637-896f-7fe47df954ea",1,,,"<ul class=""font_8"">
  <li><p class=""font_8"">Meet with key stakeholders and management to understand their expectations, business objectives, and current challenges.</p></li>
  <li><p class=""font_8"">Evaluate the team’s skills, workflows, and resources to identify gaps and areas for improvement.</p></li>
  <li><p class=""font_8"">Gain access to relevant tools, data, and systems for a comprehensive review of current practices and configurations.</p></li>
</ul>"
"Outcomes","9636175b-a7a2-42cf-87fb-80f8d48fc687",2025-05-19T23:31:46Z,2025-05-22T16:28:43Z,"b805cef0-823c-4610-b623-a9de8636fce2","7716c57c-cde1-4177-9eee-479212043293",6,,,"<p class=""font_8"">Measurement and analysis of expected and actual tangible business benefits and outcomes aligns technical deployment with business transformation.</p>"
"GTM Strategy","a0263f59-df68-4da8-b2f8-8893633a52c1",2025-03-30T19:23:27Z,2025-05-22T16:26:50Z,"b805cef0-823c-4610-b623-a9de8636fce2","0bb2e5a8-1e18-4eab-ba1c-aa5ad81fd190",6,,,"<p class=""font_8"">Synozur develops robust go-to-market strategies that are informed by the latest trends and opportunities within the Microsoft ecosystem.</p>"
"Workplace Design","a0eb997b-397a-4430-9af2-4a8b67e72fd6",2025-04-01T05:11:44Z,2025-05-22T16:27:22Z,"b805cef0-823c-4610-b623-a9de8636fce2","692cae4a-1540-4080-9098-ea41379e41f8",4,,,"<p class=""font_8"">Create functional and inspiring workspaces that cater to the unique needs of employees, promoting better work experiences and higher efficiency.</p>"
"Outcome-Based Results","a1767174-6654-43c5-8984-c339e419fd5e",2025-05-19T23:34:47Z,2026-01-06T17:56:10Z,"b805cef0-823c-4610-b623-a9de8636fce2","0b6c88a7-b508-425f-aa32-65455a0130ea",8,,,"<p class=""font_8"">Define clear, outcome-based results to measure the success of the operating system. This involves setting specific, measurable goals that align with the company's strategic objectives.</p>"
"Readiness","a222facf-9bab-4de0-bbfe-cfe2d8fc465c",2025-05-19T23:30:02Z,2025-05-22T16:28:29Z,"b805cef0-823c-4610-b623-a9de8636fce2","7716c57c-cde1-4177-9eee-479212043293",2,,,"<p class=""font_8"">Readiness based on content security, privacy, governance, risk and compliance offerings</p>"
"Execution","a90c527a-9974-4c68-a1fa-dd13c25dd7f5",2025-05-21T02:05:02Z,2025-05-22T16:25:49Z,"b805cef0-823c-4610-b623-a9de8636fce2","03424973-e10c-4637-896f-7fe47df954ea",4,,,"<ul class=""font_8"">
  <li><p class=""font_8"">Secure stakeholder and management buy-in by clearly communicating the plan, its benefits, and its impact.</p></li>
  <li><p class=""font_8"">Implement the plan, focusing on high-priority tasks and leveraging automation to improve efficiency.</p></li>
  <li><p class=""font_8"">Ensure continuous management and adjustment of the plan to address emerging needs and challenges.</p></li>
</ul>"
"Workshop","aa8cf6a6-94a2-4fd0-9055-741d7e53a27a",2025-03-31T17:33:32Z,2025-05-22T16:27:40Z,"b805cef0-823c-4610-b623-a9de8636fce2","6dc3d89f-1009-4196-baee-bc884bffdda4",3,,,"<p class=""font_8"">Develop strategies using interactive designs to create and drive consensus on business priorities</p>"
"Priorities","abb0c2e3-ae53-457a-97a7-b4300a0e160a",2025-05-19T23:30:02Z,2025-05-22T16:28:33Z,"b805cef0-823c-4610-b623-a9de8636fce2","7716c57c-cde1-4177-9eee-479212043293",3,,,"<p class=""font_8"">AI prioritization based on developing and agreeing to key business needs</p>"
"Maturity Models","b20d17af-fefb-4c51-88c7-bb09d56e337f",2025-05-19T23:29:59Z,2025-05-22T16:28:26Z,"b805cef0-823c-4610-b623-a9de8636fce2","7716c57c-cde1-4177-9eee-479212043293",1,,,"<p class=""font_8"">Maturity model assessments to plan for sustainable growth of AI initiatives</p>"
"Prioritization and Planning","b8e99b64-b13a-44b8-bd5b-f26ae4e68f1d",2025-04-01T05:11:02Z,2025-05-22T16:27:18Z,"b805cef0-823c-4610-b623-a9de8636fce2","692cae4a-1540-4080-9098-ea41379e41f8",3,,,"<p class=""font_8"">Develop a detailed work plan, outlining goals, steps, timelines, responsible parties, and expected outcomes.</p>"
"Focus on People","b9e1a0c1-d3e3-4ee1-a936-1e6675fbf331",2025-05-19T23:31:46Z,2025-05-22T16:28:40Z,"b805cef0-823c-4610-b623-a9de8636fce2","7716c57c-cde1-4177-9eee-479212043293",5,,,"<p class=""font_8"">A human-centric approach that includes:</p>
<ul class=""font_8"">
  <li><p class=""font_8"">Meetings, pilots, and adoption should be engaging and delightful</p></li>
  <li><p class=""font_8"">Agile project methodology to keep business users–in the forefront and engaged throughout</p></li>
  <li><p class=""font_8"">Ethical considerations to consider and optimize human impact</p></li>
  <li><p class=""font_8"">Change management and adoption resources to streamline and optimize deployment</p></li>
</ul>"
"Workshops","bae91154-893c-4716-9b57-002ae446674c",2025-03-30T11:01:31Z,2025-05-22T16:26:56Z,"b805cef0-823c-4610-b623-a9de8636fce2","2d7b114b-900c-4f02-b25d-d8cf98020974",2,,,"<p class=""font_8"">We use design techniques to lead collaborative thinking workshops to elicit new ideas, foster creativity and create a shared vision.</p>"
"Interview","bc4829a3-9523-42fe-98fe-ab565123afb1",2025-03-31T17:32:55Z,2025-05-22T16:27:36Z,"b805cef0-823c-4610-b623-a9de8636fce2","6dc3d89f-1009-4196-baee-bc884bffdda4",2,,,"<p class=""font_8"">Meet key stakeholders to understand their expectations, business objectives, and current challenges</p>"
"Onboarding Programs","bf0ab51b-06d4-4b5f-8677-f49eb131e728",2025-03-31T05:02:22Z,2025-05-22T16:29:30Z,"b805cef0-823c-4610-b623-a9de8636fce2","80279842-5e70-43b0-bda2-5ef909f6523b",2,,,"<p class=""font_8"">Structured processes to welcome new employees and integrate them into the company culture effectively.</p>"
"Project Management","c0a50ae4-7ad1-40e5-aa3e-94651a09a12b",2025-05-19T23:45:51Z,2025-05-22T16:29:14Z,"b805cef0-823c-4610-b623-a9de8636fce2","7c1f38b8-fc84-446c-b7d2-db83a128140c",1,,,"<p class=""font_8"">Our experienced team offers project management coaching and services designed to elevate your project execution. We provide program management and delivery PM training to ensure seamless project delivery.</p>"
"Long Term Planning","c2011b7f-d1b7-4cfd-a0e1-086c8d160639",2025-05-21T02:05:02Z,2025-05-22T16:25:58Z,"b805cef0-823c-4610-b623-a9de8636fce2","03424973-e10c-4637-896f-7fe47df954ea",7,,,"<ul class=""font_8"">
  <li><p class=""font_8"">Set in motion long-term plans that align with the company’s vision and strategic objectives.</p></li>
  <li><p class=""font_8"">Develop a culture of continuous learning, training, and proactive research within the organization.</p></li>
  <li><p class=""font_8"">Ensure the team is equipped to handle future challenges and capitalize on opportunities</p></li>
</ul>"
"Creative","c2ce8bf9-3296-46ed-9827-1278454da1fd",2025-03-30T11:03:48Z,2025-05-22T16:27:08Z,"b805cef0-823c-4610-b623-a9de8636fce2","2d7b114b-900c-4f02-b25d-d8cf98020974",6,,,"<p class=""font_8"">Design briefs and agency development of media and assets to convey your brand identity and messages</p>"
"Engagement Programs","c488699f-1a92-434d-8624-f52086d15898",2025-03-30T16:30:42Z,2025-05-22T16:28:23Z,"b805cef0-823c-4610-b623-a9de8636fce2","71b465bd-04a9-4cc5-9f43-3fb45560a8c6",8,,,"<p class=""font_8"">Design broad engagement programs for customers, field, channel and AR/PR aligned with your brand</p>"
"SI Partnerships for Customers","cd4d219e-c2a5-4cfd-a70b-4b0f5dbbad92",2025-03-30T19:22:20Z,2025-05-22T16:26:46Z,"b805cef0-823c-4610-b623-a9de8636fce2","0bb2e5a8-1e18-4eab-ba1c-aa5ad81fd190",5,,,"<p class=""font_8"">We help you establish strategic integration partnerships that enhance your offerings, providing your customers with comprehensive solutions that meet their needs.</p>"
"Workshops","cf1ce153-64e0-49d8-9911-a60837b45dca",2025-05-19T23:34:47Z,2026-01-06T17:56:01Z,"b805cef0-823c-4610-b623-a9de8636fce2","0b6c88a7-b508-425f-aa32-65455a0130ea",4,,,"<p class=""font_8"">Organize workshops to collaboratively develop the operating system. These engaging, delightful sessions involve various departments and ensure that the system is designed with input from all relevant parties, fostering a sense of ownership and alignment.</p>"
"Workshop","cfb19b46-83fb-4d8f-9f5e-47c75a924a5f",2025-04-01T05:10:33Z,2025-05-22T16:27:14Z,"b805cef0-823c-4610-b623-a9de8636fce2","692cae4a-1540-4080-9098-ea41379e41f8",2,,,"<p class=""font_8"">Develop strategies using interactive sessions to create and drive consensus on business priorities</p>"
"Microsoft Partner Strategy","d0070122-f1d1-4236-b1d0-ac00ba223d37",2025-03-30T19:21:50Z,2025-05-22T16:26:41Z,"b805cef0-823c-4610-b623-a9de8636fce2","0bb2e5a8-1e18-4eab-ba1c-aa5ad81fd190",4,,,"<p class=""font_8"">Synozur's deep ecosystem expertise allows us to craft tailored strategies that align with Microsoft’s goals. We ensure that your go-to-market strategy is in sync with Microsoft’s roadmap, sales, marketing, and product teams.</p>"
"Partnerships ","d69af118-03fd-495c-bb64-797929e888ad",2025-03-30T19:20:00Z,2025-05-22T16:26:28Z,"b805cef0-823c-4610-b623-a9de8636fce2","0bb2e5a8-1e18-4eab-ba1c-aa5ad81fd190",1,,,"<p class=""font_8"">Synozur specializes in forming strategic partnerships that bolster your presence within the Microsoft ecosystem. Our expertise ensures that you cultivate relationships that are both fruitful and enduring.</p>"
"Pricing and Packaging","daa57a56-deef-465b-b9b0-2594a1ebe07f",2025-03-30T16:30:19Z,2025-05-22T16:28:17Z,"b805cef0-823c-4610-b623-a9de8636fce2","71b465bd-04a9-4cc5-9f43-3fb45560a8c6",6,,,"<p class=""font_8"">Develop strategic pricing and packaging plans to maximize market entry.</p>"
"Analysis & Risk","db5bee6c-07ac-407b-a791-5f6db8e682b0",2025-05-21T02:05:02Z,2025-05-22T16:25:42Z,"b805cef0-823c-4610-b623-a9de8636fce2","03424973-e10c-4637-896f-7fe47df954ea",2,,,"<ul class=""font_8"">
  <li><p class=""font_8"">Conduct a thorough analysis of the organization’s current posture, identifying strengths, weaknesses, and potential risks.</p></li>
  <li><p class=""font_8"">Create a map of current state using maturity models.</p></li>
  <li><p class=""font_8"">Develop a clear picture of the maturity and effectiveness of existing frameworks, policies, and processes.</p></li>
  <li><p class=""font_8"">Perform a gap analysis and present findings to management, highlighting areas that need improvement and strategic alignment</p></li>
</ul>"
"Maturity Models","ddc43e0d-5b72-4d26-b0be-8ab5c12c9438",2025-03-31T17:34:59Z,2025-05-22T16:27:45Z,"b805cef0-823c-4610-b623-a9de8636fce2","6dc3d89f-1009-4196-baee-bc884bffdda4",4,,,"<p class=""font_8"">Map and compare current state using <strong>maturity models</strong> to analyze strengths, weaknesses, risks, and opportunities.</p>"
"Interviews","e358e7db-e957-4487-9b16-808e4f909b29",2025-03-30T11:01:11Z,2025-05-22T16:26:53Z,"b805cef0-823c-4610-b623-a9de8636fce2","2d7b114b-900c-4f02-b25d-d8cf98020974",1,,,"<p class=""font_8"">1:1 dialogues with key stakeholders inside and outside your organization.</p>"
"Process Improvement","e430f5f1-bb00-49db-b463-8e4a2675bf1c",2025-05-19T23:46:05Z,2025-05-22T16:29:19Z,"b805cef0-823c-4610-b623-a9de8636fce2","7c1f38b8-fc84-446c-b7d2-db83a128140c",2,,,"<p class=""font_8"">We specialize in process improvement, evaluation, and evolution. Through our vendor selection and RFP development expertise, we help you identify the best solutions for your needs.</p>"
"Employee Wellness Programs","ef1dfa15-fc30-447c-98ff-8e42bbec3c09",2025-03-31T05:04:44Z,2025-05-22T16:29:47Z,"b805cef0-823c-4610-b623-a9de8636fce2","80279842-5e70-43b0-bda2-5ef909f6523b",7,,,"<p class=""font_8"">Plans focused on promoting physical and mental well-being.</p>"
"Design-Led Discovery","f580cad5-1a71-45a5-8713-bfc260de8614",2025-04-01T05:12:19Z,2025-05-22T16:27:26Z,"b805cef0-823c-4610-b623-a9de8636fce2","692cae4a-1540-4080-9098-ea41379e41f8",5,,,"<p class=""font_8"">Design-led discovery process to uncover insights and understand user needs, ensuring our design strategies are grounded in real-world contexts and user experiences.</p>"
"Operate and Optimize","f7cd7bbe-49ab-4749-8401-fb8fac43c1c8",2025-05-19T23:34:47Z,2026-01-06T17:56:07Z,"b805cef0-823c-4610-b623-a9de8636fce2","0b6c88a7-b508-425f-aa32-65455a0130ea",7,,,"<p class=""font_8"">Provide ongoing mentoring and support to the leadership team and their direct reports. This includes continuous improvement efforts to ensure the effective operation of the company operating system.</p>"
