Page path,Date,Session day,Session hour,Browser,Browser version,Device type,Operating system,City,Country,IP address,Postal code,Region,First page in session,Last page in session,Next page viewed,Page URL,Previous page viewed,Traffic category,Traffic source,Traffic source URL,UTM campaign content,UTM campaign ID,UTM campaign keywords,UTM campaign medium,UTM campaign name,UTM campaign source,UTM Wix campaign,UTM Wix source,Site member,Visitor type,Page views,Site sessions,Unique visitors,Avg. sessions by day,Avg. views by day,Avg. visitors by day,Avg. pages per session,Avg. session duration,Avg. time on page,Bounce rate,Exit rate
/terms,1/12/2026,3,3,Edge,143.0.0.0,Desktop,Windows,Visakhapatnam,India,Unknown,530011,AP,false,true,Unknown,https://synozur.com/terms,/privacy,Referral,darsycertification-wu2.azurewebsites.net,https://darsycertification-wu2.azurewebsites.net/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,38s,,0%,100%
/event-details/the-new-ai-frontier-market-shifts-maturity-gaps-and-how-to-lead-with-copilot,2/15/2026,2,15,Edge,144.0.0.0,Desktop,Windows,Bothell,United States,50.47.248.147,98021,WA,false,true,Unknown,https://synozur.com/event-details/the-new-ai-frontier-market-shifts-maturity-gaps-and-how-to-lead-with-copilot,/event-list,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,Returning,2,1,1,1,2,1,1,20s,,0%,100%
/,2/17/2026,4,4,Chrome,133.0.0.0,Desktop,Mac OS,Unknown,South Korea,61.250.32.31,Unknown,Unknown,true,true,Unknown,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,17s,,0%,100%
/post/11-copilot-tips-to-supercharge-your-productivity,1/13/2026,4,5,Edge,142.0.0.0,Desktop,Windows,Brussels,Belgium,Unknown,1150,BRU,true,true,Unknown,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,2,2,2,2,2,1,,,100%,100%
/post/claude-comes-inside-the-microsoft-365-boundary,3/3/2026,4,6,Edge,145.0.0.0,Desktop,Windows,Atlanta,United States,170.85.57.17,30301,GA,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Referral,statics.teams.cdn.office.net,https://statics.teams.cdn.office.net/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"1m, 12s",,0%,100%
/team/rob-asen,1/9/2026,7,21,Chrome,143.0.0.0,Desktop,Mac OS,Sydney,Australia,Unknown,2000,NSW,true,true,Unknown,https://synozur.com/team/rob-asen,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,17s,,0%,100%
/search,3/24/2026,4,8,Edge,146.0.0.0,Desktop,Windows,Bothell,United States,50.47.248.147,98021,WA,false,false,/workshopoffers/m365-academy-—-microsoft-365-transformation-day,https://synozur.com/search?q=bootcamp,/workshopoffers/company-operating-system-bootcamp-—-two-day-leadership-workshop,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"2m, 55s",49s,0%,0%
/post/welcoming-michelle-boyd-as-executive-director-first-nations-ai-digital-futures-initiative,3/3/2026,4,10,Chrome,145.0.0.0,Desktop,Windows,Minneapolis,United States,68.47.98.42,55413,MN,false,true,Unknown,https://synozur.com/post/welcoming-michelle-boyd-as-executive-director-first-nations-ai-digital-futures-initiative,/solutions/strategic-roadmaps,Direct,Direct,https://synozur.com/about,_,_,_,_,_,_,_,_,false,Returning,2,1,1,1,2,1,1,"14m, 20s",,0%,100%
/post/claude-comes-inside-the-microsoft-365-boundary,2/15/2026,2,15,Firefox,147.0,Desktop,Windows,Newark,United States,162.251.243.151,07192,NJ,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,19s,,0%,100%
/post/introducing-microsoft-copilot-notebooks-a-quick-take,1/7/2026,5,5,Edge,143.0.0.0,Desktop,Windows,Whitby,Canada,Unknown,L1N,ON,true,true,Unknown,https://synozur.com/post/introducing-microsoft-copilot-notebooks-a-quick-take,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"3m, 58s",,0%,100%
/about,1/23/2026,7,12,Edge,145.0.0.0,Desktop,Windows,Kirkland,United States,24.16.26.78,98034,WA,true,false,/team,https://synozur.com/about,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,32s,32s,0%,0%
/about,3/2/2026,3,15,Chrome,145.0.0.0,Desktop,Windows,Minneapolis,United States,68.47.98.42,55413,MN,false,true,Unknown,https://synozur.com/about,/,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"9m, 13s",,0%,100%
/post/11-copilot-tips-to-supercharge-your-productivity,1/11/2026,2,7,Chrome,143.0.0.0,Desktop,Windows,Singapore,Singapore,Unknown,17,Unknown,true,true,Unknown,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Yahoo,https://sg.search.yahoo.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"1m, 46s",,0%,100%
/,3/8/2026,2,6,Safari,26.3,Desktop,Mac OS,Southall,United Kingdom,194.120.133.31,UB2,EAL,true,false,/team,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,Returning,2,1,1,1,2,1,1,"20m, 41s",12s,0%,0%
/post/claude-comes-inside-the-microsoft-365-boundary,1/14/2026,5,3,Chrome,143.0.0.0,Desktop,Windows,Forest Hill,United Kingdom,93.96.179.50,SE23,LEW,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,2,2,2,2,2,1,,,100%,100%
/team,4/2/2026,6,15,Safari,26.3,Mobile,iOS,Woodinville,United States,209.245.161.8,98072,WA,true,true,Unknown,https://synozur.com/team,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,2,1,2,2,1,1,,,100%,100%
/applications,4/1/2026,5,19,Edge,146.0.3856.77,Mobile,iOS,Bothell,United States,50.47.248.147,98011,WA,true,false,/workshops,https://synozur.com/applications,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,Returning,2,1,1,1,2,1,1,44s,44s,0%,0%
/post/claude-comes-inside-the-microsoft-365-boundary,2/11/2026,5,16,Chrome,144.0.0.0,Desktop,Mac OS,Yokohama,Japan,104.28.196.8,231-0841,Kanagawa,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"4m, 3s",,0%,100%
/post/gpt-5-2-arrives-in-m365-copilot,12/31/2025,5,2,Chrome,143.0.0.0,Mobile,Android,San Bernardino,United States,Unknown,92413,CA,true,true,Unknown,https://synozur.com/post/gpt-5-2-arrives-in-m365-copilot,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,1m,,0%,100%
/post/content-without-compromise-inside-the-m-files-microsoft-alliance,2/9/2026,3,6,Edge,144.0.0.0,Desktop,Windows,London,United Kingdom,170.61.237.1,EC4V,ENG,true,true,Unknown,https://synozur.com/post/content-without-compromise-inside-the-m-files-microsoft-alliance,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,18s,,0%,100%
/post/ignite-2025-sharepoint-steps-up-as-copilots-knowledge-platform,1/19/2026,3,11,Safari,26.2,Mobile,iOS,Medford,United States,173.48.146.164,02155,MA,true,true,Unknown,https://synozur.com/post/ignite-2025-sharepoint-steps-up-as-copilots-knowledge-platform,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"2m, 19s",,0%,100%
/post/ignite-day-one-work-iq-agent-365-and-the-next-wave-of-copilot,3/22/2026,2,5,Edge,146.0.0.0,Desktop,Mac OS,Zurich,Switzerland,193.223.49.101,8003,ZH,true,true,Unknown,https://synozur.com/post/ignite-day-one-work-iq-agent-365-and-the-next-wave-of-copilot,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,34s,,0%,100%
/,3/6/2026,7,8,Edge,145.0.0.0,Desktop,Windows,Katy,United States,170.203.122.246,77494,TX,true,true,Unknown,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"12m, 36s",,0%,100%
/post/ignite-day-one-work-iq-agent-365-and-the-next-wave-of-copilot,3/19/2026,6,9,Edge,146.0.0.0,Desktop,Windows,Kenmore,United States,24.17.45.17,98028,WA,true,true,Unknown,https://synozur.com/post/ignite-day-one-work-iq-agent-365-and-the-next-wave-of-copilot,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"1m, 7s",,0%,100%
/post/introducing-the-knowledge-agent-for-microsoft-365-copilot,2/10/2026,4,23,Edge,144.0.0.0,Desktop,Windows,Bergen,Norway,161.4.2.102,5099,46,true,true,Unknown,https://synozur.com/post/introducing-the-knowledge-agent-for-microsoft-365-copilot,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,11s,,0%,100%
/polaris,12/30/2025,4,21,Chrome,111.0.0.0,Desktop,Windows,Unknown,South Korea,Unknown,Unknown,Unknown,true,true,Unknown,https://synozur.com/polaris,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,33s,,0%,100%
/post/introducing-the-knowledge-agent-for-microsoft-365-copilot,1/5/2026,3,2,Edge,143.0.0.0,Desktop,Windows,Roskilde,Denmark,Unknown,4000,85,true,false,/insights,https://synozur.com/post/introducing-the-knowledge-agent-for-microsoft-365-copilot,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,42s,12s,0%,0%
/post/11-copilot-tips-to-supercharge-your-productivity,4/9/2026,6,6,Edge,146.0.0.0,Desktop,Mac OS,Irving,United States,104.179.14.23,75063,TX,true,true,Unknown,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"11m, 31s",,0%,100%
/post/gpt-5-2-arrives-in-m365-copilot,1/17/2026,1,7,Safari,26.1,Mobile,iOS,Perth,Australia,Unknown,6000,WA,true,true,Unknown,https://synozur.com/post/gpt-5-2-arrives-in-m365-copilot,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,2,1,2,2,1,1,,,100%,100%
/post/ignite-day-one-work-iq-agent-365-and-the-next-wave-of-copilot,4/2/2026,6,7,Chrome,146.0.0.0,Mobile,Android,Bengaluru,India,122.172.83.240,562130,KA,true,true,Unknown,https://synozur.com/post/ignite-day-one-work-iq-agent-365-and-the-next-wave-of-copilot,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"1m, 55s",,0%,100%
/post/content-without-compromise-inside-the-m-files-microsoft-alliance,2/28/2026,1,15,Edge,145.0.0.0,Desktop,Windows,Auckland,New Zealand,125.236.204.138,0627,AUK,true,true,Unknown,https://synozur.com/post/content-without-compromise-inside-the-m-files-microsoft-alliance,Unknown,Referral,m-files.com,https://m-files.com/,_,_,_,_,_,_,_,_,false,Returning,2,1,1,1,2,1,1,"1m, 33s",,0%,100%
/post/11-copilot-tips-to-supercharge-your-productivity,2/3/2026,4,12,Edge,144.0.0.0,Desktop,Windows,Chicago,United States,138.43.111.49,60639,IL,true,true,Unknown,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"12m, 25s",,0%,100%
/post/claude-comes-inside-the-microsoft-365-boundary,1/26/2026,3,7,Chrome,144.0.0.0,Desktop,Windows,Frankfurt am Main,Germany,155.190.35.168,60313,HE,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Referral,statics.teams.cdn.office.net,https://statics.teams.cdn.office.net/,_,_,_,_,_,_,_,_,false,Returning,2,1,1,1,2,1,1,"2m, 23s",,0%,100%
/case-studies/ai-and-knowledge-transformation-at-a-strategic-communications-firm,3/21/2026,1,22,Chrome,146.0.0.0,Mobile,Android,Bothell,United States,50.46.144.232,98021,WA,true,true,Unknown,https://synozur.com/case-studies/ai-and-knowledge-transformation-at-a-strategic-communications-firm,Unknown,Referral,com.linkedin.android,android-app://com.linkedin.android/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,13s,,0%,100%
/about,2/19/2026,6,12,Chrome,145.0.0.0,Desktop,Windows,Minneapolis,United States,50.173.195.65,55432,MN,false,false,/,https://synozur.com/about,/,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"4m, 56s","2s, 500ms",0%,0%
/post/claude-comes-inside-the-microsoft-365-boundary,2/14/2026,1,10,Safari,18.6,Mobile,iOS,Myrtle Beach,United States,67.212.36.139,29579,SC,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,9s,,0%,100%
/post/copilot-for-every-leader-how-ai-is-empowering-the-c-suite,3/27/2026,7,6,Safari,26.3,Mobile,iOS,Rocklin,United States,68.67.92.46,95765,CA,true,true,Unknown,https://synozur.com/post/copilot-for-every-leader-how-ai-is-empowering-the-c-suite?,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,2,1,2,2,1,1,,,100%,100%
/services-overview/default,2/12/2026,6,8,Chrome,144.0.0.0,Mobile,Android,Warsaw,Poland,94.254.225.7,00-510,14,false,true,Unknown,https://synozur.com/services-overview/default,/ai-training,Email marketing,External email provider,Unknown,15636792,_,_,email,_,hs_email,_,_,false,New,2,1,1,1,2,1,1,"5m, 54s",,0%,100%
/post/claude-comes-inside-the-microsoft-365-boundary,3/16/2026,3,6,Edge,146.0.0.0,Desktop,Windows,Birmingham,United Kingdom,109.157.83.238,B28,BIR,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"1m, 25s",,0%,100%
/post/introducing-microsoft-copilot-notebooks-a-quick-take,4/18/2026,1,9,Safari,26.3,Mobile,iOS,Guildford,United Kingdom,140.248.40.100,GU1,SRY,true,true,Unknown,https://synozur.com/post/introducing-microsoft-copilot-notebooks-a-quick-take,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"9m, 51s",,0%,100%
/post/claude-comes-inside-the-microsoft-365-boundary,4/14/2026,4,16,Chrome,146.0.0.0,Desktop,Mac OS,Rowland Heights,United States,72.34.77.202,91748,CA,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"1m, 57s",,0%,100%
/post/claude-comes-inside-the-microsoft-365-boundary,4/16/2026,6,13,Edge,147.0.0.0,Desktop,Windows,Irvine,United States,70.175.136.63,92614,CA,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,11s,,0%,100%
/,4/22/2026,5,6,Safari,26.4,Mobile,iOS,Miami,United States,140.248.44.0,33197,FL,true,true,Unknown,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,2,2,2,2,2,1,,,100%,100%
/search,12/30/2025,4,13,Safari,26.2,Mobile,iOS,Renton,United States,146.75.136.237,98057,WA,false,false,/,https://synozur.com/search?q=viva+goals,/insights,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"2m, 45s",18s,0%,0%
/post/m-files-and-microsoft-a-new-era-of-document-management,1/14/2026,5,19,Safari,26.2,Mobile,iOS,Sugar Land,United States,Unknown,77498,TX,true,true,Unknown,https://synozur.com/post/m-files-and-microsoft-a-new-era-of-document-management,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,1s,,100%,100%
/team/andrew-borg,3/16/2026,3,21,Safari,26.2,Mobile,iOS,San Francisco,United States,172.226.36.132,94142,CA,true,false,/about,https://synozur.com/team/andrew-borg,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"3m, 46s","3m, 7s",0%,0%
/,4/15/2026,5,11,Safari,26.4,Desktop,Mac OS,Olympia,United States,63.211.220.106,98512,WA,true,true,Unknown,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,Returning,2,1,1,1,2,1,1,"5m, 25s",,0%,100%
/clients,1/7/2026,5,10,Chrome,143.0.0.0,Desktop,Windows,Traverse City,United States,Unknown,49686,MI,true,false,/post/larry-namer-the-kid-from-coney-island-who-invented-modern-tv,https://synozur.com/clients,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"1m, 4s",1m,0%,0%
/post/content-without-compromise-inside-the-m-files-microsoft-alliance,2/22/2026,2,19,Edge,145.0.0.0,Desktop,Windows,Melbourne,Australia,163.116.198.117,3000,VIC,true,true,Unknown,https://synozur.com/post/content-without-compromise-inside-the-m-files-microsoft-alliance,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,46s,,0%,100%
/team,1/12/2026,3,5,Safari,26.2,Mobile,iOS,New York,United States,Unknown,10025,NY,false,true,Unknown,https://synozur.com/team,/team/rob-asen,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"2m, 54s",,0%,100%
/about,2/9/2026,3,7,Chrome,144.0.0.0,Mobile,Android,Seattle,United States,172.56.204.160,98160,WA,true,false,/team,https://synozur.com/about,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,Returning,2,1,1,1,2,1,1,"14m, 38s","2m, 57s",0%,0%
/,2/2/2026,3,7,Safari,26.2,Mobile,iOS,Atlanta,United States,146.75.248.0,30301,GA,true,true,Unknown,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,2,2,2,2,2,1,,,100%,100%
/post/introducing-microsoft-copilot-notebooks-a-quick-take,2/10/2026,4,14,Edge,144.0.0.0,Desktop,Windows,Richmond,Canada,174.6.143.56,V6X,BC,true,true,Unknown,https://synozur.com/post/introducing-microsoft-copilot-notebooks-a-quick-take,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,8s,,0%,100%
/post/claude-comes-inside-the-microsoft-365-boundary,1/20/2026,4,12,Edge,144.0.0.0,Desktop,Windows,Hastings,United Kingdom,90.199.112.212,TN34,ESX,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,AI platforms,Gemini,https://gemini.google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,31s,,0%,100%
/post/claude-comes-inside-the-microsoft-365-boundary,2/17/2026,4,2,Chrome,145.0.0.0,Desktop,Mac OS,Auckland,New Zealand,203.211.75.148,0622,AUK,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"2m, 16s",,0%,100%
/clients,2/25/2026,5,12,Chrome,144.0.0.0,Desktop,Windows,Denver,United States,66.33.8.19,80233,CO,false,true,Unknown,https://synozur.com/clients,/team,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"1m, 3s",,0%,100%
/post/11-copilot-tips-to-supercharge-your-productivity,2/21/2026,1,15,Edge,145.0.0.0,Desktop,Windows,Minneapolis,United States,172.56.13.85,55412,MN,true,true,Unknown,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"22m, 32s",,0%,100%
/careers,1/12/2026,3,7,Chrome,142.0.0.0,Desktop,Mac OS,Samborondón,Ecuador,Unknown,092302,G,true,true,Unknown,https://synozur.com/careers,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,2,2,2,2,2,1,,,100%,100%
/post/claude-comes-inside-the-microsoft-365-boundary,1/25/2026,2,6,Safari,26.2,Mobile,iOS,Perth,Australia,180.150.80.124,6000,WA,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"2m, 33s",,0%,100%
/solutions/ai-strategy-and-design,1/14/2026,5,16,Chrome,144.0.0.0,Desktop,Windows,Burlington,Canada,Unknown,L7P,ON,true,true,Unknown,https://synozur.com/solutions/ai-strategy-and-design,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,,,100%,100%
/post/claude-comes-inside-the-microsoft-365-boundary,3/17/2026,4,0,Edge,146.0.0.0,Desktop,Windows,New Delhi,India,136.226.251.73,110002,DL,true,true,Unknown,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"8m, 59s",,0%,100%
/insights,1/5/2026,3,12,Chrome,136.0.0.0,Desktop,Windows,City of London,United Kingdom,Unknown,EC4R,LND,true,true,Unknown,https://synozur.com/insights,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,,,100%,100%
/start,2/8/2026,2,21,Chrome,144.0.0.0,Mobile,Android,Bozeman,United States,174.45.8.191,59715,MT,true,false,/,https://synozur.com/start,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"3m, 36s",9s,0%,0%
/post/first-encounters-with-microsofts-copilot-researcher-analyst,2/27/2026,7,9,Chrome,145.0.0.0,Desktop,Windows,Brandon,United States,47.196.121.251,33511,FL,true,true,Unknown,https://synozur.com/post/first-encounters-with-microsofts-copilot-researcher-analyst,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,"17m, 18s",,0%,100%
/,4/21/2026,4,22,Chrome,133.0.0.0,Desktop,Mac OS,Unknown,South Korea,113.217.243.149,Unknown,Unknown,true,true,Unknown,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,false,New,2,1,1,1,2,1,1,15s,,0%,100%
