Date,Session day,Session hour,Browser,Browser version,Device type,Operating system,City,Country,IP address,Postal code,Region,First page in session,Last page in session,Next page viewed,Page path,Page URL,Previous page viewed,Traffic category,Traffic source,Traffic source URL,UTM campaign content,UTM campaign ID,UTM campaign keywords,UTM campaign medium,UTM campaign name,UTM campaign source,UTM Wix campaign,UTM Wix source,Site member,Visitor type,Page views,Site sessions,Unique visitors,Bounce rate,Avg. session duration,Avg. sessions by day,Avg. views by day,Avg. visitors by day,Avg. pages per session,Avg. time on page,Exit rate
7/1/2026,Wednesday,10,Chrome,149.0.0.0,Desktop,Mac OS,Brooklyn,United States,151.202.111.113,11201,NY,First in session,Yes,Unknown,/post/content-without-compromise-inside-the-m-files-microsoft-alliance,https://synozur.com/post/content-without-compromise-inside-the-m-files-microsoft-alliance,Unknown,Referral,aka.synozur.com,https://aka.synozur.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,1,Chrome,149.0.0.0,Desktop,Mac OS,Reykjavik,Iceland,46.182.184.138,101,RKV,Not first in session,Yes,Unknown,/team,https://synozur.com/team,/services-overview/default,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,37s,1,1,1,1,,100%
7/1/2026,Wednesday,14,Edge,149.0.0.0,Desktop,Windows,London,United Kingdom,208.127.123.188,W1U,ENG,Not first in session,No,/about,/clients,https://synozur.com/clients,/post/11-copilot-tips-to-supercharge-your-productivity,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,9s,1,1,1,1,1s,0%
7/1/2026,Wednesday,1,Edge,149.0.0.0,Desktop,Windows,Unknown,United Arab Emirates,37.218.226.13,Unknown,Unknown,First in session,Yes,Unknown,/post/11-copilot-tips-to-supercharge-your-productivity,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,10,Edge,149.0.0.0,Desktop,Windows,Pembroke Pines,United States,98.242.196.67,33026,FL,First in session,Yes,Unknown,/post/stop-buying-ai-start-building-value,https://synozur.com/post/stop-buying-ai-start-building-value,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,11,Chrome,148.0.0.0,Desktop,Linux,New York,United States,149.57.191.46,10118,NY,First in session,Yes,Unknown,/post/stop-buying-ai-start-building-value,https://synozur.com/post/stop-buying-ai-start-building-value,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,11,Edge,149.0.0.0,Desktop,Windows,Bothell,United States,50.47.239.237,98021,WA,Not first in session,Yes,Unknown,/team/michelle-caldwell,https://synozur.com/team/michelle-caldwell,/team,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,41s,1,1,1,1,,100%
7/1/2026,Wednesday,14,Chrome,149.0.7827.137,Mobile,iOS,Auckland,New Zealand,202.170.175.35,0626,AUK,First in session,Yes,Unknown,/post/content-without-compromise-inside-the-m-files-microsoft-alliance,https://synozur.com/post/content-without-compromise-inside-the-m-files-microsoft-alliance,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,13,Edge,149.0.0.0,Desktop,Windows,Bellevue,United States,73.42.173.149,98004,WA,Not first in session,No,/service-page/microsoft-partner-gtm-strategy-review,/,https://synozur.com/,/about,AI platforms,ChatGPT,https://chatgpt.com/,_,_,_,_,_,chatgpt.com,_,_,Not a member,Returning,1,1,1,0%,27s,1,1,1,1,11s,0%
7/1/2026,Wednesday,10,Chrome,148.0.7778.96,Desktop,Linux,Washington,United States,52.190.15.210,22747,VA,First in session,Yes,Unknown,/applications/orion,https://synozur.com/applications/orion,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,9,Chrome,148.0.0.0,Desktop,Linux,New York,United States,149.57.191.136,10118,NY,First in session,Yes,Unknown,/insights,https://synozur.com/insights,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,9,Edge,149.0.0.0,Desktop,Windows,Bothell,United States,50.47.239.237,98021,WA,First in session,No,/applications,/,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,25s,1,1,1,1,16s,0%
7/1/2026,Wednesday,5,Edge,149.0.0.0,Mobile,Android,Florissant,United States,99.44.24.125,63031,MO,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Referral,com.linkedin.android,android-app://com.linkedin.android/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,30s,1,1,1,1,,100%
7/1/2026,Wednesday,11,Chrome,148.0.0.0,Desktop,Linux,New York,United States,149.57.191.143,10118,NY,First in session,Yes,Unknown,/post/from-the-closet-to-the-c-suite-the-case-for-radical-honesty,https://synozur.com/post/from-the-closet-to-the-c-suite-the-case-for-radical-honesty,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,9,Chrome,148.0.0.0,Desktop,Linux,Unknown,United States,206.198.217.38,Unknown,Unknown,First in session,Yes,Unknown,/post/from-the-closet-to-the-c-suite-the-case-for-radical-honesty,https://synozur.com/post/from-the-closet-to-the-c-suite-the-case-for-radical-honesty,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,1,Chrome,149.0.7827.137,Mobile,iOS,Unknown,United States,174.208.227.67,Unknown,IL,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,10,Chrome,148.0.7778.96,Desktop,Linux,Washington,United States,52.190.15.219,22747,VA,First in session,Yes,Unknown,/privacy,https://synozur.com/privacy,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,10,LinkedIn App,Unknown,Mobile,iOS,Unknown,United States,174.255.120.47,Unknown,GA,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,10,Edge,149.0.0.0,Desktop,Windows,Cleveland,United States,204.156.207.156,44115,OH,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,10,Chrome,148.0.7778.96,Desktop,Linux,Phoenix,United States,20.172.9.123,85036,AZ,First in session,Yes,Unknown,/applications/orion,https://synozur.com/applications/orion,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,1,LinkedIn App,Unknown,Mobile,iOS,Unknown,United States,174.208.227.67,Unknown,IL,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,14,Edge,149.0.0.0,Desktop,Windows,London,United Kingdom,208.127.123.188,W1U,ENG,First in session,No,/clients,/post/11-copilot-tips-to-supercharge-your-productivity,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,9s,1,1,1,1,8s,0%
7/1/2026,Wednesday,10,Chrome,148.0.7778.96,Desktop,Linux,Washington,United States,52.190.15.218,22747,VA,First in session,Yes,Unknown,/applications/orion,https://synozur.com/applications/orion,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,9,Edge,149.0.0.0,Desktop,Windows,Bothell,United States,50.47.239.237,98021,WA,Not first in session,No,/applications/orion,/applications,https://synozur.com/applications,/,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,25s,1,1,1,1,9s,0%
7/1/2026,Wednesday,13,Edge,149.0.0.0,Desktop,Windows,Denver,United States,155.190.9.37,80252,CO,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,9,Edge,149.0.0.0,Desktop,Windows,Bothell,United States,50.47.239.237,98021,WA,Not first in session,Yes,Unknown,/applications/orion,https://synozur.com/applications/orion,/applications,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,25s,1,1,1,1,,100%
7/1/2026,Wednesday,5,Edge,149.0.0.0,Desktop,Windows,Barnsley,United Kingdom,195.224.239.68,S70,BNS,First in session,Yes,Unknown,/post/11-copilot-tips-to-supercharge-your-productivity,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,0,Chrome,79.0.3945.79,Desktop,Windows,Unknown,United States,205.169.39.179,Unknown,Unknown,First in session,Yes,Unknown,/,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,13,Edge,149.0.0.0,Desktop,Windows,Bellevue,United States,73.42.173.149,98004,WA,Not first in session,Yes,Unknown,/service-page/microsoft-partner-gtm-strategy-review,https://synozur.com/service-page/microsoft-partner-gtm-strategy-review,/,AI platforms,ChatGPT,https://chatgpt.com/,_,_,_,_,_,chatgpt.com,_,_,Not a member,Returning,1,1,1,0%,27s,1,1,1,1,,100%
7/1/2026,Wednesday,1,Chrome,149.0.0.0,Desktop,Mac OS,Reykjavik,Iceland,46.182.184.138,101,RKV,Not first in session,No,/team,/services-overview/default,https://synozur.com/services-overview/default,/,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,0%,37s,1,1,1,1,12s,0%
7/1/2026,Wednesday,1,Edge,149.0.0.0,Desktop,Windows,Stuttgart,Germany,185.141.201.167,70191,BW,First in session,Yes,Unknown,/post/sharepoint-esignature-transforms-business-documents,https://synozur.com/post/sharepoint-esignature-transforms-business-documents,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,2,1,1,0%,9s,1,2,1,1,,100%
7/1/2026,Wednesday,13,Edge,149.0.0.0,Desktop,Windows,Bellevue,United States,73.42.173.149,98004,WA,Not first in session,No,/,/about,https://synozur.com/about,/,AI platforms,ChatGPT,https://chatgpt.com/,_,_,_,_,_,chatgpt.com,_,_,Not a member,Returning,1,1,1,0%,27s,1,1,1,1,13s,0%
7/1/2026,Wednesday,2,Chrome,147.0.0.0,Desktop,Windows,Toronto,Canada,104.239.43.78,M5A,ON,First in session,Yes,Unknown,/post/agentic-users-autonomous-workflows-and-the-ai-workplace-of-2025-your-complete-guide,https://synozur.com/post/agentic-users-autonomous-workflows-and-the-ai-workplace-of-2025-your-complete-guide,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,4,Edge,149.0.0.0,Desktop,Windows,New Delhi,India,128.77.82.77,110002,DL,First in session,Yes,Unknown,/post/11-copilot-tips-to-supercharge-your-productivity,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,15,Chrome,145.0.0.0,Desktop,Linux,Hong Kong,Hong Kong,104.28.157.197,Unknown,Unknown,First in session,Yes,Unknown,/,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
7/1/2026,Wednesday,14,LinkedIn App,Unknown,Mobile,iOS,Gingelom,Belgium,213.119.234.139,3890,VLI,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,Returning,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,10,LinkedIn App,Unknown,Mobile,iOS,Houston,United States,174.202.225.133,77027,TX,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,21,Chrome,145.0.0.0,Mobile,Android,Frankfurt am Main,Germany,45.150.177.78,60313,HE,First in session,Yes,Unknown,/post/11-copilot-tips-to-supercharge-your-productivity,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,21,Edge,149.0.0.0,Desktop,Windows,Canberra,Australia,163.127.20.9,2611,ACT,First in session,Yes,Unknown,/items/care-raft-prompting-industry-examples,https://synozur.com/items/care-raft-prompting-industry-examples,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,8,Edge,149.0.4022.80,Mobile,iOS,Bothell,United States,50.47.239.237,98021,WA,Not first in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,/search,Referral,aka.synozur.com,https://aka.synozur.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,0%,50s,1,1,1,1,,100%
6/30/2026,Tuesday,8,Safari,26.5.2,Mobile,iOS,Washington,United States,168.235.188.55,20062,DC,First in session,Yes,Unknown,/post/11-copilot-tips-to-supercharge-your-productivity,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,23,LinkedIn App,Unknown,Mobile,iOS,Bellevue,United States,174.165.33.238,98007,WA,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,21,Edge,149.0.0.0,Desktop,Windows,Vlaardingen,Netherlands,92.254.108.143,3136,ZH,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,3,Edge,149.0.4022.80,Mobile,iOS,Shenyang,China,182.200.18.235,Unknown,LN,First in session,Yes,Unknown,/post/11-copilot-tips-to-supercharge-your-productivity,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Bing,https://cn.bing.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,2,Chrome,142.0.0.0,Desktop,Windows,Shenyang,China,223.101.42.22,Unknown,LN,First in session,Yes,Unknown,/post/agentic-users-autonomous-workflows-and-the-ai-workplace-of-2025-your-complete-guide,https://synozur.com/post/agentic-users-autonomous-workflows-and-the-ai-workplace-of-2025-your-complete-guide,Unknown,Organic search,Bing,https://cn.bing.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,21,Chrome,149.0.0.0,Desktop,Windows,Tirupur,India,182.72.161.146,641604,TN,First in session,Yes,Unknown,/,https://synozur.com/,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,16,Safari,10.0,Mobile,iOS,Unknown,United States,205.169.39.43,Unknown,Unknown,First in session,Yes,Unknown,/,https://synozur.com/,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,16,Chrome,59.0.3071.125,Mobile,Android,Unknown,United States,205.169.39.26,Unknown,Unknown,First in session,Yes,Unknown,/,https://synozur.com/,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,16,Chrome,117.0.5938.132,Desktop,Windows,Unknown,United States,205.169.39.48,Unknown,Unknown,First in session,Yes,Unknown,/,https://synozur.com/,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,8,Edge,149.0.4022.80,Mobile,iOS,Bothell,United States,50.47.239.237,98021,WA,Not first in session,No,/ai-training,/search,https://synozur.com/search?q=training,/solutions/ai-strategy-and-design,Referral,aka.synozur.com,https://aka.synozur.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,0%,50s,1,1,1,1,11s,0%
6/30/2026,Tuesday,16,Chrome,117.0.5938.132,Desktop,Windows,Unknown,United States,205.169.39.24,Unknown,Unknown,First in session,Yes,Unknown,/,https://synozur.com/,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,12,Edge,116.0.1938.69,Desktop,Windows,Buffalo,United States,104.237.251.185,14205,NY,First in session,Yes,Unknown,/post/claude-comes-inside-the-microsoft-365-boundary,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Direct,Direct,https://synozur.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,1,Edge,149.0.0.0,Desktop,Windows,Melbourne,Australia,147.161.212.121,3000,VIC,First in session,Yes,Unknown,/post/11-copilot-tips-to-supercharge-your-productivity,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,8,Edge,149.0.4022.80,Mobile,iOS,Bothell,United States,50.47.239.237,98021,WA,First in session,No,/search,/solutions/ai-strategy-and-design,https://synozur.com/solutions/ai-strategy-and-design,Unknown,Referral,aka.synozur.com,https://aka.synozur.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,0%,50s,1,1,1,1,39s,0%
6/30/2026,Tuesday,15,Chrome,149.0.0.0,Desktop,Windows,Henderson,United States,68.108.188.158,89052,NV,First in session,Yes,Unknown,/ai-training,https://synozur.com/ai-training,Unknown,Organic social,Linkedin,https://linkedin.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,12,Edge,149.0.0.0,Desktop,Windows,Schaumburg,United States,75.145.153.65,60173,IL,First in session,Yes,Unknown,/post/from-tacit-knowledge-to-talking-agents-navigating-copilot-s-next-evolution,https://synozur.com/post/from-tacit-knowledge-to-talking-agents-navigating-copilot-s-next-evolution,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/30/2026,Tuesday,12,Opera,106.0.0.0,Desktop,Windows,Porth,United Kingdom,78.144.85.66,CF39,RCT,First in session,Yes,Unknown,/post/claude-comes-inside-the-microsoft-365-boundary,https://synozur.com/post/claude-comes-inside-the-microsoft-365-boundary,Unknown,Direct,Direct,Unknown,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/29/2026,Monday,5,Chrome,149.0.0.0,Mobile,Android,Oviedo,Spain,79.116.139.165,33011,O,First in session,No,/event-list,/about,https://synozur.com/about,Unknown,Direct,Direct,https://synozur.com/about,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,0%,"1m, 20s",1,1,1,1,"1m, 7s",0%
6/29/2026,Monday,22,Edge,149.0.0.0,Desktop,Windows,Jakarta,Indonesia,103.130.182.209,12850,JK,First in session,Yes,Unknown,/solutions/company-os,https://synozur.com/solutions/company-os,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/29/2026,Monday,2,Safari,26.5,Desktop,Mac OS,Abuja,Nigeria,102.91.135.72,Unknown,FC,First in session,Yes,Unknown,/polaris,https://synozur.com/polaris,Unknown,Referral,podmatch.com,https://podmatch.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/29/2026,Monday,4,Edge,149.0.0.0,Desktop,Windows,Basingstoke,United Kingdom,151.227.29.207,RG21,HAM,Not first in session,Yes,Unknown,/team,https://synozur.com/team,/,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,0%,7s,1,1,1,1,,100%
6/29/2026,Monday,12,Chrome,149.0.0.0,Desktop,Windows,Chicago,United States,136.226.108.178,60602,IL,First in session,Yes,Unknown,/post/m-files-and-microsoft-a-new-era-of-document-management,https://synozur.com/post/m-files-and-microsoft-a-new-era-of-document-management,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
6/29/2026,Monday,17,Chrome,149.0.0.0,Mobile,Android,Jersey City,United States,69.141.124.32,07306,NJ,First in session,No,/services-overview/default,/,https://synozur.com/,Unknown,Organic search,Google,https://google.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,0%,"11m, 12s",1,1,1,1,22s,0%
6/29/2026,Monday,9,Edge,149.0.0.0,Desktop,Mac OS,Phoenix,United States,139.71.144.16,85032,AZ,First in session,Yes,Unknown,/post/11-copilot-tips-to-supercharge-your-productivity,https://synozur.com/post/11-copilot-tips-to-supercharge-your-productivity,Unknown,Organic search,Bing,https://bing.com/,_,_,_,_,_,_,_,_,Not a member,New,1,1,1,100%,,1,1,1,1,,100%
